iter	Passed	Remaining
597	7810	5250
598	7822	5236
599	7832	5221
600	7844	5207
601	7855	5193
602	7866	5178
603	7877	5165
604	7889	5150
605	7898	5135
606	7909	5121
607	7921	5107
608	7932	5092
609	7942	5078
610	7954	5064
611	7964	5049
612	7978	5036
613	7990	5023
614	8001	5009
615	8015	4996
616	8026	4982
617	8038	4968
618	8050	4955
619	8061	4941
620	8074	4927
621	8086	4914
622	8099	4901
623	8110	4887
624	8123	4873
625	8136	4860
626	8147	4847
627	8158	4832
628	8171	4819
629	8184	4806
630	8195	4792
631	8207	4779
632	8219	4765
633	8232	4752
634	8243	4738
635	8254	4724
636	8266	4710
637	8279	4697
638	8289	4683
639	8303	4670
640	8316	4657
641	8330	4645
642	8344	4632
643	8356	4619
644	8370	4607
645	8382	4593
646	8393	4579
647	8403	4565
648	8414	4551
649	8426	4537
650	8437	4523
651	8450	4510
652	8461	4496
653	8473	4482
654	8484	4468
655	8496	4455
656	8508	4442
657	8520	4428
658	8532	4415
659	8544	4401
660	8556	4388
661	8567	4374
662	8578	4360
663	8591	4347
664	8605	4334
665	8618	4322
666	8629	4308
667	8641	4295
668	8652	4281
669	8664	4267
670	8676	4254
671	8688	4241
672	8699	4227
673	8712	4214
674	8724	4200
675	8736	4187
676	8747	4173
677	8762	4161
678	8776	4148
679	8790	4136
680	8806	4125
681	8823	4114
682	8840	4103
683	8856	4091
684	8872	4080
685	8888	4068
686	8902	4056
687	8916	4043
688	8928	4030
689	8942	4017
690	8956	4005
691	8970	3992
692	8984	3980
693	8998	3967
694	9013	3955
695	9028	3943
696	9044	3931
697	9061	3920
698	9076	3908
699	9090	3895
700	9103	3883
701	9118	3870
702	9130	3857
703	9141	3843
704	9156	3831
705	9168	3818
706	9181	3804
707	9191	3790
708	9203	3777
709	9215	3764
710	9227	3750
711	9238	3736
712	9250	3723
713	9261	3709
714	9271	3695
715	9283	3682
716	9297	3669
717	9314	3658
718	9332	3647
719	9346	3634
720	9358	3621
721	9370	3607
722	9382	3594
723	9393	3581
724	9404	3567
725	9416	3553
726	9427	3540
727	9438	3526
728	9449	3512
729	9461	3499
730	9473	3486
731	9483	3472
732	9495	3458
733	9506	3445
734	9517	3431
735	9528	3417
736	9541	3404
737	9554	3391
738	9565	3378
739	9577	3364
740	9589	3351
741	9599	3337
742	9610	3324
743	9622	3310
744	9638	3298
745	9655	3287
746	9669	3275
747	9680	3261
748	9692	3248
749	9704	3234
750	9715	3221
